Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,Date_established
Fully-functional,Oloosirkon Dispensary,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Oloosirkon Community Health Unit,703107,43255
Fully-functional,Kitengela sub-county hospital,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Nompopong Community Health Unit,703106,43255
Fully-functional,Kitengela sub-county hospital,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Sholinke Community Health Unit,703105,43255
Fully-functional,Kitengela sub-county hospital,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Nookopir Community Health Unit,703104,43255
Fully-functional,Kitengela sub-county hospital,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Olootikosh Community Health Unit,703103,43255
Fully-functional,Kitengela sub-county hospital,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Enkare Community Health Unit,703102,43255
Fully-functional,Kitengela sub-county hospital,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Namelok Community Health Unit,703101,43255
Fully-functional,Kitengela sub-county hospital,Oloosirkon/Sholinke,Kajiado East,Kajiado East,Kajiado,Ilkeeklemedungi Community Health Unit,703100,43255
Fully-functional,Ilpolosat Dispensary,Kaputiei North,Kajiado East,Kajiado East,Kajiado,Ilpolosat Community Health Unit,703099,43255
Fully-functional,Olturoto Dispensary,Kaputiei North,Kajiado East,Kajiado East,Kajiado,Olturoto Community Health Unit,703098,43255
Fully-functional,Isinya Health Centre,Kaputiei North,Kajiado East,Kajiado East,Kajiado,Oloosidan Community Health Unit,703097,43255
Fully-functional,Isinya Health Centre,Kaputiei North,Kajiado East,Kajiado East,Kajiado,Kisaju Community Health Unit,703096,43255
Fully-functional,Isinya Health Centre,Kaputiei North,Kajiado East,Kajiado East,Kajiado,Korompoi Community Health Unit,703095,43255
