Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
14622,Kabitungu Dispensary,Kabitungu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kericho,Bureti,Bureti,Chemosot,Operational,No,No,No,No,,Yes,Yes,No
14629,Kaboswa Tea Dispensary,Kaboswa Tea Dispensary,None,Level 2,Dispensary,DISPENSARY,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,0,Nandi,Nandi Hills,Nandi Hills,Chepkunyuk,Operational,Yes,No,Yes,No,,Yes,Yes,No
14631,Kabulwo Dispensary,Kabulwo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Elgeyo Marakwet,Keiyo North,Keiyo North,Emsoo,Operational,No,No,No,No,,Yes,Yes,No
14627,Kaborok Dispensary,Kaborok Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kericho,Belgut,Belgut,Waldai,Operational,No,No,No,No,,Yes,Yes,No
14633,Kabutii-Matiret Dispensary,Kabutii-Matiret Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,3,0,3,Kericho,Sigowet/Soin,Sigowet/Soin,Kaplelartet,Operational,No,No,No,No,,Yes,Yes,No
14635,Kacheliba Mobile Clinic,Kacheliba Mobile clinic,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,West Pokot,Kacheliba,Pokot North,Suam,Operational,No,No,No,No,,Yes,Yes,No
14636,Kachoda Dispensary,Kachoda Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,0,Turkana,Turkana North,Turkana North,Lapur,Operational,No,No,No,No,,Yes,Yes,No
14637,Kaeris Dispensary,Kaeris Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Turkana,Turkana North,Turkana North,Kaeris,Operational,No,No,No,No,,Yes,Yes,No
14641,Kaibos Dipensary,Kaibos Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,West Pokot,Kapenguria,West Pokot,Siyoi,Operational,No,No,No,No,,Yes,Yes,No
14647,Kaisugu Dispensary,Kaisugu Dispensary,None,Level 2,Dispensary,DISPENSARY,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,0,Kericho,Kipkelion East,Kipkelion East,Chepseon,Operational,No,No,No,No,,Yes,Yes,No
